id,institution,sex,age,year,cycle,field,income,genai_freq,use_writing,use_summarising,use_brainstorm,use_translation,use_coding,use_explaining,use_questions,use_homework,anx1,anx2,anx3,anx4,anx5,anxiety,se1,se2,se3,se4,se5,se6,se7,se8,selfeff,eng1,eng2,eng3,eng4,eng5,eng6,eng7,eng8,eng9,engage,who_i1,who_i2,who_i3,who_i4,who_i5,who5
R0250,IPV,M,20,1,BSc,SocSci,2,5,1,1,0,0,1,0,0,0,7,7,5,7,4,6.0,5,5,5,4,6,5,4,4,5.35,2,3,2,3,1,2,4,1,1,2.84,1,2,0,1,1,29
R0251,IPP,F,19,1,MSc,SocSci,3,2,0,0,1,1,0,0,0,0,1,1,3,3,3,2.34,4,7,6,5,5,4,5,4,4.96,3,4,4,4,4,2,2,5,2,3.56,2,4,3,1,2,50
R0252,IPC,M,20,2,BSc,STEM,3,4,1,1,0,1,0,0,0,0,4,1,3,2,3,3.33,4,4,4,5,6,4,5,6,4.56,5,4,5,5,4,6,5,5,5,4.98,4,3,4,4,3,73
R0253,IPV,F,18,1,BSc,STEM,4,1,0,0,0,0,0,0,0,0,6,5,3,5,3,4.29,4,4,4,6,5,5,5,4,5.02,5,5,4,4,6,4,5,7,5,5.38,5,5,5,5,5,98
R0254,IPC,M,27,4,BSc,Health,2,4,0,1,1,1,1,0,0,0,4,6,5,7,3,4.89,3,5,6,4,5,3,6,4,4.11,2,2,1,2,3,2,2,2,1,2.1,3,4,5,3,4,78
R0255,IPP,F,28,2,MSc,STEM,5,5,1,1,1,0,1,1,0,0,3,1,4,2,1,2.65,6,6,6,5,5,6,7,7,4.91,3,3,4,3,5,4,4,3,3,3.56,2,2,3,2,2,73
R0256,IPC,M,20,1,BSc,SocSci,5,5,1,1,1,0,1,1,1,1,4,4,3,3,4,3.91,6,4,3,4,6,5,7,7,5.06,5,3,5,5,5,4,4,3,4,4.04,5,3,2,3,3,70
R0257,IPC,O,25,3,MSc,STEM,4,5,1,1,0,1,0,1,1,0,6,3,3,3,5,4.83,7,6,4,5,6,7,4,7,5.52,5,6,5,6,6,6,5,3,4,5.19,5,5,5,5,5,94
R0258,UC,F,28,4,BSc,STEM,3,4,1,1,0,1,1,0,0,0,2,5,4,3,4,3.62,5,4,5,5,7,4,3,3,4.28,2,4,4,4,3,4,2,4,4,3.79,2,2,4,3,2,46
R0259,IPC,F,18,4,BSc,Health,3,5,1,0,0,1,1,0,1,0,4,6,4,6,6,5.37,1,4,3,2,4,2,3,3,2.6,4,3,4,3,4,4,4,5,4,3.08,1,3,1,2,1,34
R0260,IPC,F,27,3,BSc,STEM,3,5,1,1,1,0,1,1,0,1,4,5,1,3,4,3.91,5,4,4,5,4,3,4,4,4.57,4,4,5,5,5,5,5,4,3,4.17,2,2,3,2,5,70
R0261,UC,F,19,1,BSc,STEM,2,2,0,0,0,0,0,0,0,0,4,5,4,6,5,4.8,7,7,7,7,7,7,7,7,6.39,3,4,5,3,3,5,5,2,2,3.56,0,3,2,2,3,43
R0262,UC,M,25,2,Other,SocSci,2,5,1,0,1,0,0,0,0,0,2,3,4,5,3,3.83,7,4,6,6,6,6,7,7,5.65,6,6,6,4,5,7,6,6,4,5.28,3,3,3,3,5,67
R0263,UC,F,29,1,BSc,STEM,3,5,1,1,1,0,0,1,0,0,3,2,4,2,1,2.77,6,7,5,6,6,6,5,6,5.64,7,7,7,7,6,6,7,7,5,6.6,1,1,2,1,2,41
R0264,UC,M,20,1,BSc,SocSci,2,4,0,1,0,0,0,1,0,0,7,5,6,5,7,5.81,6,3,3,3,4,2,3,5,3.45,4,4,5,4,5,5,4,3,3,4.36,1,4,3,4,2,47
R0265,UC,M,19,1,MSc,Health,3,5,1,1,0,0,1,1,0,0,5,5,3,5,5,3.63,6,6,3,5,5,4,6,5,4.96,6,7,4,6,3,6,4,4,6,4.73,2,3,3,3,3,56
R0266,UC,F,20,3,BSc,STEM,4,4,1,0,1,0,0,0,0,1,4,4,3,4,1,4.06,4,5,6,5,7,3,4,6,4.53,5,7,7,4,5,7,4,6,5,4.97,2,3,3,3,3,49
R0267,UC,F,18,1,BSc,STEM,2,5,1,1,0,1,1,0,0,0,7,6,5,5,4,5.58,7,5,5,6,4,6,6,5,5.11,4,6,7,5,6,6,6,6,5,5.86,3,5,5,5,3,88
R0268,IPP,M,19,1,BSc,STEM,4,4,1,0,1,1,1,1,1,0,2,5,3,6,5,3.71,6,5,6,5,5,7,4,5,5.94,6,6,6,5,6,6,6,6,6,5.4,3,4,3,4,3,66
R0269,IPP,M,27,1,BSc,SocSci,5,5,1,0,1,1,1,1,1,0,5,3,6,5,4,4.54,7,7,6,5,5,6,5,7,5.65,2,4,4,4,2,4,3,4,4,3.97,4,2,3,2,3,64
R0270,IPV,M,32,4,BSc,STEM,3,5,0,1,1,1,1,0,0,1,6,7,6,5,6,6.1,3,3,5,4,5,5,5,6,4.44,7,4,4,7,5,6,6,7,5,5.82,2,3,3,3,2,63
R0271,IPP,M,25,3,MSc,Arts,4,4,1,0,1,0,0,0,1,0,3,2,3,3,1,1.85,6,6,5,5,7,5,6,6,5.48,5,6,4,6,6,5,4,5,6,5.12,5,4,5,5,4,93
R0272,IPV,F,33,3,MSc,Health,4,5,1,1,1,1,0,1,1,0,4,5,3,4,2,3.48,4,6,4,3,4,5,3,2,3.84,4,4,5,4,4,5,4,4,5,3.85,3,2,2,3,2,52
R0273,UC,M,27,1,BSc,STEM,4,4,1,1,1,1,1,1,1,1,5,3,6,4,5,4.12,7,3,4,5,4,5,3,3,4.36,5,4,3,4,4,3,3,4,4,4.12,2,1,3,3,3,53
R0274,IPP,M,18,1,BSc,STEM,3,1,0,0,0,0,0,0,0,0,3,3,1,2,3,2.98,6,7,7,6,7,7,4,7,5.76,5,6,3,5,6,3,5,5,4,4.53,4,5,5,5,5,97
R0275,IPV,M,18,4,BSc,SocSci,3,3,1,0,0,0,0,0,0,0,3,6,4,7,5,4.26,7,7,4,6,7,4,6,5,5.73,7,7,7,7,6,6,7,7,6,6.52,3,4,4,5,4,81
R0276,UC,F,25,1,BSc,STEM,3,4,1,1,1,1,1,1,0,1,3,5,3,3,3,4.04,5,3,4,5,3,4,5,4,4.07,2,1,1,2,1,1,2,2,1,1.25,2,2,0,2,1,40
R0277,UC,F,20,4,BSc,STEM,3,5,1,1,0,1,1,0,0,1,5,2,4,4,6,3.7,7,4,7,6,6,4,5,5,5.61,3,3,3,4,3,2,4,3,5,3.69,4,2,2,3,2,53
R0278,IPP,F,25,2,BSc,STEM,5,4,0,1,1,0,1,0,0,0,6,3,5,5,5,5.32,6,6,5,5,6,4,5,5,5.3,7,7,7,7,7,7,7,5,7,6.61,2,2,2,3,2,43
R0279,UC,F,19,3,BSc,STEM,4,5,1,1,1,1,1,0,1,0,4,5,4,7,5,4.82,5,6,4,6,6,5,7,5,4.64,4,6,4,1,3,2,3,2,2,2.61,1,1,2,3,2,24
R0280,IPP,M,20,1,Other,Arts,4,5,0,0,0,1,1,0,0,0,7,5,5,5,4,4.91,3,3,4,5,4,3,4,4,3.81,4,2,5,5,4,4,4,3,2,3.37,1,4,2,1,3,38
R0281,IPP,M,27,2,BSc,Health,4,5,1,1,1,0,1,1,0,0,5,5,5,7,4,5.33,4,4,5,4,3,4,3,5,4.01,4,4,3,5,4,3,4,3,4,3.62,4,3,5,4,3,70
R0282,IPC,F,25,2,BSc,SocSci,3,2,1,0,1,0,0,0,0,0,3,3,3,5,4,4.0,5,3,4,5,4,4,3,2,4.13,2,3,2,3,2,1,2,3,2,2.37,2,3,2,3,3,41
R0283,IPC,F,19,2,BSc,STEM,2,4,1,1,0,0,1,1,1,0,7,6,7,7,5,7.0,3,7,5,4,4,5,5,3,4.46,4,5,3,3,3,2,2,3,4,3.54,2,0,2,2,0,23
R0284,IPP,F,18,1,BSc,SocSci,3,1,0,0,0,0,0,0,0,0,2,3,2,1,2,2.44,4,5,6,7,6,7,7,7,5.91,7,3,5,6,3,6,7,5,4,5.17,4,4,2,4,4,71
R0285,IPP,F,19,1,BSc,STEM,3,5,1,0,1,1,0,1,1,0,1,3,1,3,2,3.04,4,7,5,5,4,4,6,5,5.31,4,5,3,5,4,4,7,3,4,4.3,3,5,4,2,5,70
R0286,UC,F,19,3,BSc,STEM,3,2,0,0,0,1,0,0,0,0,4,3,1,1,2,1.39,4,6,5,5,5,7,5,5,5.93,7,4,4,4,7,5,5,5,4,5.24,4,2,4,2,3,64
R0287,UC,F,20,3,BSc,Health,4,2,0,0,0,0,0,0,0,0,4,3,2,3,2,3.57,6,7,6,5,5,5,5,6,5.19,5,4,6,4,5,5,5,6,5,4.04,4,4,5,5,5,89
R0288,IPV,F,18,4,BSc,Arts,3,4,0,1,0,1,0,1,0,0,7,6,4,4,2,4.3,3,4,4,5,4,4,6,4,3.84,3,3,4,7,5,5,6,3,5,4.79,2,2,3,2,2,56
R0289,UC,F,25,2,BSc,STEM,2,5,1,1,1,0,1,0,0,0,4,5,3,6,6,4.75,6,7,5,5,7,5,7,6,5.88,2,2,4,5,4,3,4,4,3,3.91,3,4,5,4,4,74
R0290,IPP,M,20,2,BSc,SocSci,5,4,1,1,1,0,0,0,0,0,3,5,6,5,5,4.93,5,4,2,4,3,3,2,5,3.98,5,5,4,3,3,4,5,3,3,3.7,2,1,1,3,2,45
R0291,IPC,F,31,1,BSc,STEM,3,5,1,0,1,1,1,1,1,0,3,2,1,1,2,2.36,4,4,4,4,6,4,4,2,4.13,6,6,7,7,4,4,6,3,6,5.18,5,3,2,3,4,64
R0292,IPV,M,18,3,MSc,STEM,2,5,1,0,1,0,0,1,0,0,7,7,7,7,7,7.0,6,5,4,4,6,5,6,3,4.61,2,3,4,5,2,3,1,3,2,3.06,1,1,1,1,1,25
R0293,IPV,F,32,2,BSc,STEM,3,4,0,0,1,1,0,0,0,0,6,7,7,5,7,7.0,4,4,3,5,6,4,5,3,3.66,5,4,6,3,4,4,5,5,6,4.71,2,2,3,2,2,54
R0294,IPP,F,20,3,BSc,STEM,4,4,0,0,0,1,0,0,0,1,4,6,5,4,5,5.03,3,4,4,4,3,3,4,5,4.11,4,3,3,2,4,2,4,1,2,2.54,2,4,3,3,2,62
R0295,UC,F,19,4,MSc,Arts,2,5,1,1,1,1,0,1,0,1,4,3,5,5,5,4.82,5,5,6,5,7,6,7,6,5.54,6,2,4,3,4,6,5,5,5,4.26,2,4,4,2,3,68
R0296,UC,M,20,2,MSc,STEM,2,5,1,1,0,1,0,0,1,0,7,3,5,3,4,4.56,5,4,4,5,5,4,5,7,4.99,2,3,5,5,5,5,6,5,5,3.94,1,0,0,2,0,4
R0297,IPV,M,20,3,BSc,Health,2,2,0,0,0,0,0,0,0,0,5,4,5,3,5,4.34,4,7,6,6,6,6,5,4,5.6,5,5,3,7,3,6,5,4,5,5.18,2,3,2,3,2,49
R0298,IPV,F,20,4,MSc,SocSci,4,4,1,1,0,0,1,0,0,0,5,4,5,7,7,5.58,6,6,6,7,7,7,6,6,6.51,4,5,5,6,6,4,4,5,6,4.91,3,3,3,1,3,58
R0299,IPP,F,30,1,MSc,STEM,3,5,1,1,1,1,0,1,0,0,7,6,4,5,3,4.79,6,2,5,7,6,6,5,7,5.52,5,3,6,5,5,5,5,4,3,4.35,3,4,5,4,5,76
R0300,UC,M,18,5,BSc,SocSci,5,4,1,0,0,0,1,0,0,0,4,3,3,4,4,4.24,5,2,7,5,4,6,7,6,5.4,6,4,5,2,6,4,4,3,5,4.68,4,3,4,3,3,75
R0301,IPC,M,19,2,BSc,STEM,3,5,1,0,1,0,1,0,0,1,4,4,3,3,4,3.93,5,3,6,6,4,4,6,4,4.79,5,3,5,5,5,6,5,6,6,4.98,3,4,3,4,3,80
R0302,UC,F,19,1,BSc,SocSci,2,4,1,1,1,0,0,1,0,0,1,2,2,1,2,1.39,3,4,4,4,5,4,3,4,3.61,3,3,4,4,5,3,6,4,4,3.97,3,3,4,5,3,65
R0303,IPC,F,25,1,BSc,STEM,4,4,1,0,0,0,1,1,0,1,2,5,2,4,1,2.62,4,6,4,6,5,4,4,5,5.04,3,5,4,3,3,3,4,4,5,3.57,3,4,4,4,4,74
R0304,UC,F,20,2,BSc,STEM,2,4,1,1,1,1,0,0,0,0,5,3,5,3,6,4.81,5,3,4,3,3,3,5,5,4.04,7,6,5,7,6,7,5,4,5,5.84,4,5,5,5,5,97
R0305,IPV,F,25,3,BSc,STEM,4,1,0,0,0,0,0,0,0,0,3,4,6,5,3,3.15,7,5,7,6,4,4,6,7,5.57,3,4,1,3,3,3,3,2,1,2.6,3,2,4,3,5,64
R0306,IPC,M,20,3,BSc,STEM,4,3,0,1,1,0,0,0,0,0,1,1,5,4,2,2.94,6,7,6,7,7,7,7,6,6.68,4,7,5,6,5,4,3,3,5,5.14,4,5,3,5,5,79
R0307,IPV,O,32,5,BSc,SocSci,2,4,0,1,1,0,0,1,0,0,4,5,2,2,1,3.45,6,5,3,3,4,3,5,6,5.12,6,7,5,6,7,6,6,7,5,6.2,0,2,3,1,3,44
R0308,IPP,F,18,5,MSc,SocSci,4,5,1,0,1,0,0,0,0,0,3,2,2,5,4,3.69,4,4,4,5,7,6,3,3,4.06,3,4,2,3,4,3,3,3,4,3.55,5,3,3,3,4,77
R0309,IPP,F,20,1,BSc,STEM,5,5,1,1,1,1,1,0,0,0,4,4,6,7,7,5.63,6,3,7,7,6,7,6,6,5.89,5,5,7,6,6,6,3,5,5,5.54,4,3,4,3,3,66
R0310,IPV,M,20,4,BSc,SocSci,4,4,1,1,1,0,1,0,1,0,6,5,7,5,5,4.84,2,5,3,4,3,4,3,3,3.57,4,4,4,1,3,5,3,4,3,3.47,2,3,3,4,3,55
R0311,IPC,F,20,2,BSc,STEM,2,5,1,1,1,1,0,0,1,0,4,4,5,6,5,4.61,3,4,3,4,5,4,3,3,3.58,2,4,2,3,4,2,3,2,3,2.79,2,3,1,1,3,36
R0312,UC,F,27,2,MSc,Health,3,2,0,0,0,0,0,0,0,0,3,3,3,2,5,3.88,7,7,6,6,7,4,6,6,7.0,7,4,6,6,4,7,6,6,5,5.85,4,4,4,3,4,56
R0313,IPC,M,27,2,MSc,STEM,4,5,1,1,1,1,1,0,1,1,4,7,6,6,6,5.42,3,4,5,3,6,4,3,4,3.16,3,2,4,4,3,3,3,3,3,3.14,0,1,0,0,1,3
R0314,IPV,F,26,3,BSc,SocSci,2,4,1,1,0,0,0,1,1,1,3,1,1,3,3,2.4,7,7,6,5,7,7,7,6,6.06,7,7,6,7,7,6,7,5,6,6.33,4,3,5,5,5,77
R0315,IPV,M,18,2,MSc,STEM,4,3,1,1,0,0,0,0,0,0,7,7,6,5,6,5.27,3,4,5,3,4,2,2,3,2.93,4,4,2,4,3,1,4,3,2,2.97,3,2,3,3,2,62
R0316,UC,M,28,4,MSc,STEM,3,4,1,1,0,0,0,0,0,0,3,6,2,5,4,4.64,7,6,6,3,4,5,5,6,5.26,4,4,5,5,3,3,4,5,3,4.63,4,2,2,4,3,55
R0317,IPV,F,27,4,MSc,STEM,2,2,0,0,0,0,0,0,0,0,1,4,4,3,1,2.53,5,7,7,7,4,7,5,6,6.63,7,6,6,6,7,7,6,6,6,6.19,2,4,3,4,3,73
R0318,UC,M,29,3,BSc,STEM,3,4,0,1,1,0,1,0,1,0,5,4,5,3,5,4.55,7,4,6,6,6,5,6,5,5.25,3,2,6,5,5,5,5,5,3,4.62,3,3,2,2,2,48
R0319,IPC,F,28,2,BSc,STEM,2,5,1,1,0,1,1,1,1,0,3,4,5,3,1,3.88,5,5,6,6,7,5,6,4,5.75,4,3,2,2,2,5,5,4,5,3.55,4,3,4,4,4,65
R0320,IPV,O,25,1,Other,SocSci,4,1,0,0,0,0,0,0,0,0,2,5,3,2,5,4.12,6,5,7,7,6,6,7,5,6.45,5,6,7,7,5,6,5,4,6,5.44,3,3,2,4,3,59
R0321,IPV,F,25,1,MSc,STEM,3,4,1,0,0,0,1,0,0,0,4,5,5,4,5,4.3,5,4,4,4,4,6,4,4,3.99,1,1,3,1,1,3,2,3,1,1.85,0,1,2,2,1,36
R0322,IPP,M,25,4,BSc,SocSci,3,3,1,0,0,0,1,1,0,0,2,6,4,1,2,3.45,7,6,7,7,6,5,5,6,5.41,5,5,7,6,6,4,5,7,5,6.15,0,3,3,1,3,38
R0323,IPP,F,20,4,MSc,Arts,4,3,0,1,0,0,0,0,0,0,1,1,1,1,3,1.87,5,7,5,6,7,4,7,6,5.89,4,7,6,6,6,6,7,7,4,5.25,5,5,5,5,5,97
R0324,IPV,F,18,1,BSc,STEM,2,2,0,1,0,1,0,0,0,0,5,7,5,7,4,5.23,7,4,6,6,5,4,7,7,5.39,6,5,5,5,7,4,5,5,6,4.86,3,3,3,2,4,75
R0325,UC,M,18,1,BSc,SocSci,3,4,0,1,0,0,1,1,0,0,4,4,6,5,6,4.37,5,5,4,5,5,6,5,6,5.4,5,4,7,5,5,6,3,4,4,5.42,3,4,3,5,5,87
R0326,IPP,F,18,1,BSc,SocSci,3,4,1,0,0,1,0,0,0,0,4,4,4,6,3,3.56,3,5,3,3,3,3,4,4,3.96,5,3,2,3,6,4,3,6,3,4.22,3,3,3,3,4,59
R0327,UC,M,25,2,MSc,SocSci,1,4,0,1,0,0,1,1,1,1,1,2,1,3,3,2.13,5,6,5,6,6,3,6,5,5.36,5,4,4,6,4,5,5,5,6,4.87,3,2,4,5,2,67
R0328,IPP,F,32,2,BSc,STEM,5,4,1,1,1,1,0,0,0,0,3,5,3,3,3,3.32,4,3,6,5,7,6,4,5,5.23,6,6,5,5,4,6,5,6,4,5.23,4,3,4,4,4,63
R0329,IPP,F,26,1,MSc,SocSci,2,2,0,0,0,0,0,0,0,1,3,2,3,2,4,3.85,7,4,7,3,4,7,6,5,5.3,5,5,3,4,5,4,4,4,6,4.74,4,3,2,3,3,63
R0330,IPC,M,25,3,Other,STEM,3,4,1,1,1,0,1,0,0,0,1,3,3,2,2,2.48,4,3,5,5,4,5,5,5,4.15,5,3,4,5,3,4,2,5,4,3.82,5,4,4,4,5,81
R0331,IPC,F,25,1,BSc,STEM,4,5,1,1,0,1,1,1,1,0,4,4,6,6,4,4.68,4,3,5,4,3,4,6,4,4.35,5,5,5,4,4,4,5,4,4,4.46,3,3,1,3,2,48
R0332,UC,M,18,5,BSc,SocSci,3,5,1,0,0,0,0,1,0,0,4,4,3,3,5,4.02,5,6,6,7,5,7,7,6,6.22,6,6,6,7,6,4,6,3,6,5.24,4,3,3,3,4,76
R0333,UC,M,20,4,BSc,STEM,2,5,1,1,0,1,0,1,0,0,7,4,7,5,5,5.51,4,4,3,4,3,4,4,5,3.95,3,3,4,5,5,4,5,4,4,4.39,2,3,4,2,4,58
R0334,IPP,F,29,1,MSc,STEM,3,4,0,0,0,1,1,0,1,0,7,4,4,5,4,5.3,3,4,5,7,5,5,6,4,4.88,3,5,3,5,4,6,5,3,3,3.31,4,4,1,3,4,72
R0335,UC,F,18,2,MSc,STEM,1,4,0,0,1,1,0,0,1,0,2,3,6,4,4,3.77,5,6,5,5,5,5,5,4,4.98,4,4,4,5,3,5,5,5,3,3.66,4,2,3,3,3,56
R0336,IPP,M,25,2,BSc,Health,2,3,0,1,0,0,0,0,0,0,4,4,4,4,3,3.73,5,7,7,5,5,5,7,6,5.47,4,4,5,5,6,5,4,5,6,5.03,5,2,4,2,4,57
R0337,IPV,M,20,1,MSc,SocSci,2,5,1,0,0,1,1,1,0,0,5,3,3,5,6,4.07,5,4,5,5,2,5,4,4,4.32,6,5,4,4,5,5,4,4,4,4.97,2,2,2,4,1,43
R0338,IPP,M,25,2,MSc,STEM,5,3,0,0,0,1,0,0,0,0,4,4,2,2,1,3.0,7,4,7,7,7,6,7,6,7.0,6,7,4,3,6,4,5,4,6,4.98,3,1,3,5,2,67
R0339,IPC,F,20,1,MSc,Health,3,5,0,1,0,1,1,1,0,0,4,4,5,4,5,4.73,4,1,3,4,3,1,2,2,2.6,1,1,3,1,2,2,1,1,1,1.19,0,1,1,0,0,10
R0340,IPP,M,26,2,BSc,STEM,5,4,1,0,1,1,0,1,0,1,2,4,5,3,4,3.27,6,7,6,7,6,6,5,5,6.33,7,7,6,7,7,7,7,7,6,6.93,5,2,3,4,4,72
R0341,IPC,M,18,2,BSc,STEM,2,5,1,1,0,0,0,1,0,0,4,5,4,3,5,4.51,6,5,4,4,4,6,5,6,4.83,4,5,3,3,2,4,4,5,5,3.99,3,1,2,3,3,54
R0342,IPC,F,25,1,BSc,STEM,3,4,1,1,0,0,1,1,0,0,3,2,2,4,2,2.92,6,6,6,5,5,6,6,6,5.66,4,3,3,2,5,4,2,5,3,4.1,3,4,4,3,5,71
R0343,IPP,F,18,1,BSc,STEM,4,4,0,0,1,0,1,0,1,0,1,3,2,1,1,1.0,4,5,6,7,6,6,4,7,5.71,4,3,1,3,4,3,4,3,5,2.73,5,4,4,5,4,93
R0344,IPP,F,28,1,BSc,Health,4,4,0,1,1,0,0,1,0,0,4,5,2,4,3,3.37,6,7,6,4,7,5,5,6,6.03,5,6,7,7,4,5,7,6,7,5.6,4,3,4,3,5,77
R0345,UC,M,19,3,BSc,STEM,3,5,1,1,0,1,1,1,0,1,3,3,7,4,3,3.58,5,2,4,5,4,3,5,4,4.06,7,5,5,4,5,6,3,6,4,5.29,4,3,1,3,1,67
R0346,IPP,M,18,1,MSc,STEM,3,5,1,1,1,0,1,1,0,1,6,6,3,5,5,5.22,2,5,5,6,4,6,5,4,4.86,5,5,5,7,5,5,2,5,6,4.94,1,3,2,2,3,53
R0347,IPC,F,20,3,MSc,STEM,3,5,1,1,1,0,0,0,0,1,4,6,4,3,4,3.92,6,4,4,6,5,5,4,4,4.58,4,3,4,6,2,3,2,5,4,3.2,2,3,2,4,2,46
R0348,IPV,F,29,2,MSc,Health,2,3,0,0,0,0,0,0,0,0,6,6,5,5,4,4.91,6,4,4,5,4,3,4,4,3.99,5,3,3,4,4,5,4,5,2,3.8,3,3,2,2,2,59
R0349,IPP,M,31,1,BSc,STEM,4,4,1,0,0,1,0,0,1,0,7,6,4,5,7,5.8,4,7,6,6,5,7,6,6,5.34,5,5,6,5,4,4,4,5,4,4.76,4,4,4,3,4,89
R0350,IPC,F,19,1,BSc,SocSci,3,4,0,0,1,0,1,1,0,0,5,4,3,4,4,3.78,5,6,7,5,7,6,7,6,6.33,5,4,5,6,3,5,6,5,4,4.53,3,3,4,3,4,71
R0351,UC,F,20,2,MSc,STEM,3,4,1,0,0,0,0,1,0,1,5,3,5,4,5,4.4,7,6,7,6,6,5,7,5,5.84,4,3,5,4,5,6,6,4,6,5.34,3,2,3,3,4,66
R0352,UC,M,20,4,BSc,Health,2,4,0,0,1,1,1,0,0,1,6,6,6,6,4,5.26,6,5,3,3,3,3,5,4,3.3,4,2,3,2,2,4,4,4,4,3.43,2,2,3,2,3,53
R0353,UC,F,18,2,MSc,STEM,4,4,0,0,0,0,1,0,1,0,2,3,2,3,2,2.92,6,5,6,6,3,6,5,6,4.9,4,7,5,5,6,4,7,7,3,5.61,4,4,3,3,3,73
R0354,IPV,F,18,2,BSc,STEM,1,5,1,0,1,0,1,0,0,1,7,7,7,7,7,7.0,6,4,6,5,6,7,4,7,4.82,2,4,3,2,5,3,1,3,3,3.34,2,0,1,0,1,23
R0355,IPP,F,20,1,BSc,Health,5,4,1,1,0,0,1,0,0,0,2,3,1,4,2,3.06,4,4,3,4,4,3,5,3,4.25,4,4,3,5,6,3,4,4,1,3.45,2,3,4,4,5,68
R0356,IPV,M,25,5,BSc,Arts,3,4,1,0,1,0,1,1,0,1,5,5,5,3,3,3.73,4,6,5,5,6,5,7,4,5.51,6,7,5,5,3,5,4,5,3,4.99,4,2,3,1,3,60
R0357,IPP,M,26,2,Other,STEM,3,5,1,0,1,0,0,0,1,0,2,2,2,3,5,2.73,6,6,7,5,7,7,7,7,6.59,6,7,7,6,4,5,5,6,5,6.2,2,5,3,2,2,43
R0358,IPC,F,18,1,BSc,STEM,3,5,1,0,1,0,1,1,0,1,6,7,5,6,4,5.14,6,7,6,5,5,7,6,5,5.75,5,2,3,3,5,5,3,4,5,3.75,4,3,2,4,3,63
R0359,IPP,F,27,3,BSc,SocSci,2,4,0,0,1,0,0,1,1,0,3,6,7,5,3,5.13,7,7,5,7,7,6,7,6,7.0,6,3,5,6,5,3,6,4,5,4.82,2,3,2,2,4,43
R0360,IPP,F,28,2,BSc,SocSci,2,3,1,0,0,1,0,0,0,1,4,4,7,6,3,4.52,4,4,5,3,6,3,7,4,4.56,4,3,4,3,3,4,3,5,3,3.67,5,5,3,2,5,93
R0361,IPP,F,18,2,BSc,SocSci,3,5,1,1,1,1,1,1,1,1,3,7,3,7,2,4.35,3,4,1,3,4,4,3,3,3.4,6,4,4,2,4,4,3,4,2,3.71,1,0,1,1,0,29
R0362,IPC,F,25,1,BSc,STEM,1,4,1,0,0,0,1,0,0,0,5,5,6,3,5,5.12,5,6,7,4,5,5,6,5,5.18,5,7,5,7,7,7,5,7,7,6.25,4,2,4,2,1,60
R0363,IPV,F,20,1,BSc,STEM,4,5,1,1,1,0,0,0,1,0,6,7,7,4,7,7.0,3,4,5,3,5,5,3,4,4.23,4,2,4,3,3,4,4,2,7,3.32,1,3,2,1,3,44
R0364,IPV,F,26,1,BSc,STEM,2,4,1,1,0,0,1,0,0,0,6,6,6,4,4,5.56,3,4,3,3,5,4,5,5,4.22,6,4,5,6,6,4,4,4,5,4.37,1,3,3,1,0,38
R0365,UC,M,28,3,BSc,Health,3,4,1,0,1,0,0,1,0,0,5,7,3,3,1,3.58,6,5,4,6,3,5,4,6,4.79,6,5,3,3,6,7,7,6,6,5.42,0,1,1,1,2,32
R0366,UC,M,20,1,BSc,STEM,3,3,1,0,0,0,0,0,0,0,4,5,3,4,2,3.09,4,6,4,6,4,6,5,4,4.92,6,6,5,5,5,6,5,7,7,5.56,1,4,4,2,2,57
R0367,IPC,F,25,3,BSc,SocSci,5,5,1,1,1,0,0,0,0,0,6,7,7,4,7,6.26,5,3,5,4,5,6,6,4,4.34,6,5,6,7,6,6,5,4,7,5.38,1,0,0,1,0,24
R0368,IPP,F,20,5,BSc,Arts,2,5,1,1,0,1,1,0,1,0,2,2,3,1,3,2.15,6,4,4,4,4,7,5,4,4.82,6,6,4,5,5,4,4,6,4,4.57,3,2,2,3,2,48
R0369,UC,F,25,2,BSc,SocSci,3,4,1,0,1,1,0,0,1,0,5,4,2,2,4,3.74,1,2,3,2,2,3,3,2,3.04,1,4,3,3,3,6,2,2,3,3.55,2,3,2,3,2,56
R0370,IPV,F,20,4,BSc,Health,4,5,1,0,1,0,0,1,1,0,7,5,7,6,5,7.0,5,5,4,7,6,5,3,5,5.06,3,5,4,3,4,6,6,3,4,4.38,2,2,4,3,2,42
R0371,IPP,F,25,4,MSc,Health,3,1,0,0,0,0,1,0,0,0,4,2,4,3,2,2.3,7,5,6,7,5,5,5,4,6.27,2,4,5,4,5,5,2,5,4,4.17,4,5,4,4,5,91
R0372,UC,M,25,3,BSc,Arts,2,4,0,1,0,0,1,1,0,1,4,5,3,3,5,4.49,4,5,4,4,4,5,5,5,4.67,3,5,3,2,3,2,1,3,2,2.63,2,2,2,4,2,46
R0373,IPV,M,28,2,BSc,STEM,2,4,1,0,1,1,1,1,0,0,5,5,6,2,6,4.31,3,4,7,4,5,6,3,4,4.39,3,1,1,2,4,3,2,3,2,2.85,1,2,2,1,3,42
R0374,IPP,M,20,3,BSc,SocSci,3,4,0,0,0,0,0,1,0,0,2,3,1,1,3,2.49,7,7,5,7,7,7,6,7,6.88,5,6,3,5,6,5,6,7,3,5.35,5,5,4,5,5,88
